marco e il nonno preparano l’occorrente per la pesca||||MARCO+NONNO+OCCORRENTE+PREPARARE+(PRESENTE)+PESCA
"mr. batman", recitava con uno stentato carattere scritto a mano.||||MR.+BATMAN+RECITARE+(PASSATO)+STENTATO+CARATTERE+SCRITTO+MANO
suonò, attese, il cancello si aprì.||||SUONARE+(PASSATO)+ATTENDERE+(PASSATO)+CANCELLO+APRIRSI+(PASSATO)
era nel sottoscala possibile che le agenzie immobiliari non avessero saputo far di meglio per un cliente così famososi trovò a pensare mentre cercava di indovinare gli scalini nel buio più totale.||||ESSERE+(PASSATO)+SOTTOSCALA+POSSIBILE+AGENZIE+IMMOBILIARI+NON+SAPERE+(PASSATO)+MIGLIO+CLIENTE+FAMOSO+TROVARE+(PASSATO)+PENSARE+CERCARE+(PASSATO)+INDOVINARE+SCALINI+BUIO+TOTALE
"eccoti santa! felice di vederti, spero non ti sia scocciato scendere le scale al buio ma sai, qui nel condominio hanno deciso di risparmiare sulla luce ed io ricevo poco, ultimamente."||||ECCOTI+SANTA+FELICE+VEDERSI+(PASSATO)+SPERARE+NON+SCOCIAARE+(PASSATO)+SCENDERE+SCALE+BUIO+QUI+CONDOMINIO+DECIDERE+(PASSATO)+RISPARMIARE+LUCE+RICEVERE+POCO+ULTIMAMENTE
santa notò una vena di tristezza in quelle ultime parole.||||SANTA+NOTARE+(PASSATO)+VENA+TRISTEZZA+PAROLE+ULTIME
"sent dove al pensiero io ti trovo tutoriale: mi viene subito a pensare chi mi potesse dare una mano per risolvere i miei problemi..."||||SENTIRE+DOVE+PENSIERO+TROVARE+(PASSATO)+MI+VENIRE+(PASSATO)+SUBITO+PENSARE+CHI+POTESSERE+(PASSATO)+DARE+MANO+RISOLVERE+PROBLEMI
"mi serviva un costume", continuò poco dopo, "sono dietro ad una gang di spacciatori di cocaina, con un nano maligno che mi chiama con disprezzo, giocando col mio nome..barman chi ?..sai, non sono più come ai vecchi tempi, ora poi che anche robin mi ha mollato, e le bollette da pagare ho messo un po' di annunci, ho scritto alla marvel..mi hanno detto che mi faranno sapere, e che comunque quelli della mia generazione sono diventati roba da collezionisti..ho le tasse dietro e hai voglia a spiegare||||SERVIRE+(PASSATO)+COSTUME+CONTINUARE+(PASSATO)+ESSERE+(PASSATO)+DIETRO+GANG+SPACCIATORI+COCAINA+NANO+MALIGNO+CHIAMARE+(PASSATO)+DISPREZZO+GIOCARE+NOME+BARMAN+CHI+NON+ESSERE+(PASSATO)+COME+VECCHI+TEMPI+ORA+ANCHE+ROBIN+MOLLARE+(PASSATO)+BOLLETTE+PAGARE+METTERE+(PASSATO)+ANNUNCI+SCRIVERE+(PASSATO)+MARVEL+DIRE+(PASSATO)+SAPERE+GENERAZIONE+DIVENTARE+(PASSATO)+ROBA+COLLEZIONISTI+TASSE+DIETRO+SPIEGARE
santa si sentiva a disagio.||||SANTA+DISAGIO+(SENTIREPASSATO)
non solo per la tremenda puzza di sardine che promanava dal monolocale.||||NON+SOLO+PUZZA+TREMENDA+SARDINA+MONOLOCALE+(PROMANAREPASSATO)
"che brav'uomo, però osserva anche la tradizione della vigilia...", pensò quasi con tenerezza.||||BRAV'UOMO+TRADIZIONE+VIGILIA+OSSERVARE+(PENSAREPASSATO)
ma si riprese subito: "ascolta batman, se è di soldi che hai bisogno, dimmi quanto ti serve, vedrò di fare il possibile, ma non so come potrei aiutarti altrimenti."||||BATMAN+SOLDI+BISOGNO+QUANTO+SERVIRE+(DIREFUTURO)+POSSIBILE+FARE+(DIREFUTURO)+AIUTARE+(POTEREFUTURO)
"no, affatto, non è di questo che si tratta..è che mi serve il tuo costume!"||||NO+COSTUME+SERVIRE+(DIREPRESENTE)
"cosa ?"||||COSA
"sì, hai capito bene, proprio il costume che indossi"||||SÌ+COSTUME+INDOSSARE+(CAPIREPASSATO)
"dimmi che stai scherzando sarebbero capaci di licenziarmi se andassi in borghese' a consegnar regali"||||SCHERZARE+LICENZIARE+(DIREFUTURO)+REGALO+CONSEGNARE+(ANDAREPASSATO)+BORGHESE
batman si passò la mano tra i capelli neri impomatati.||||BATMAN+CAPELLI+NERI+IMPOMATATO+MANO+PASSARE+(PASSAREPASSATOSÉ)
brillantina anche lui, ma colore diverso.||||BRILLANTINA+LUI+COLORE+DIVERSO
la mano si unse leggermente.||||MANO+UNGERE+(UNGERSIPASSATO)+LEGGERMENTE
guardò santa, poi emise un forte sospiro.||||GUARDARE+SANTA+SANTA+SOSPITRO+FORTE+(EMETTEREPASSATO)
"lo sai che non sono mai stato il tipo che chiede favori, piuttosto li ho sempre fatti, non ti pare?"||||FAVORE+CHIEDERE+(ESSEREPASSATO)+FARE+(FAREPASSATO)+TI+PARE
claus assentì con convinzione.||||CLAUS+CONVINZIONE+ASSENTIRE
"e' il primo che ti chiedo, e sarà anche l'ultimo, te lo prometto, ma non mi dire di no ora, fai conto che sia il tuo regalo di natale per me"||||PRIMO+CHIEDERE+ULTIMO+PROMETTERE+REGALO+NATALE+(DIREPRESENTE)
l'altro lo fissò a lungo a braccia conserte.||||ALTRO+FISSARE+LUNGO+BRACCIA+INCROCIARE
aveva una piega incerta agli angoli della bocca e lo sguardo di chi si trattiene ma avrebbe voglia di spingersi oltre.||||PIEGA+INCERTA+BOCCA+SGUARDO+TRATTENERE+VOGLIA+SPINGERSI+OLTRE+(AVVEREPASSATO)
batman ricambiò lo sguardo abbassando leggermente il capo ed imbastendo un sorriso.||||BATMAN+SGUARDO+RICAMBIARE+CAPO+ABBASSARE+LEGGERMENTE+SORRISO+IMBASTIRE
"ho anche scritto la letterina a babbo natale"||||LETTERINA+SCRIVERE+BABBO+NATALE
santa gli puntò addosso l'indice inguantato di rosso.||||SANTA+INDICE+INGUANTATO+ROSSO+PUNTARE
"non farlo mai più!"||||NON+FARE+(FARLOPRESENTE)+PIÙ+MAI
"che cosa? la letterina?"||||COSA+LETTERINA
l'altro alzò gli occhi al cielo.||||ALTRO+OCCHIO+ALZARE+CIELO
si chiese come poteva una mente così mediocre aver incastrato così tanti delinquenti.||||MENTE+MEDIOCRE+INCASTRARE+DELINQUENTE+(CHIEDERSIPASSATO)
poi si rispose che semplicemente era invecchiato.||||INVECCHIARE+(RISPONDEREPASSATO)+SEMPLICEMENTE
claus ebbe pena per lui e si raddolcì un poco.||||CLAUS+PENA+RADDOLCIRE+(AVEREPASSATO)
si schiarì la voce prima di proseguire.||||VOCE+SCHIARIRE+(SCHIARIREPASSATO)+PROSEGUIRE
"non mi chiamare mai in quel modo, lo sai che lo odio e per la letterina, che vuoi che ti dica?"||||MODO+CHIAMARE+ODIARE+LETTERINA+(DIREPRESENTE)
"certo che l'ho fatto davvero, perché dovrei mentire proprio a te?!"||||FATTO+MENTIRE+PERCHÉ+(DIREPRESENTE)+TE
"già perché? hai ragione, scusami è che bah, lascia perdere! piuttosto, forza: spiegami un po' a che diavolo ti servirebbe questo costume tarlato?"||||RAGIONE+SCUSARE+LASCIARE+PERDERE+SPIEGARE+TARLO+COSTUME+SERVIRE+(DIREPRESENTE)
batman lo guardò sospettoso.||||BATMAN+GUARDARE+SOSPETTO
"e da quando sarebbe tarlato il tuo costume? scommetto da quando te l'ho chiesto io in prestito"||||COSTUME+TARLO+DOMANDARE+PRESTITO+(DOMANDAREPRESENTE)
"come come? ahh, bat, ascolta", diede una rapida occhiata all'orologio.||||COME+ASCOLTARE+BAT+ORGOGO+OCCHIATA+(DAREPASSATO)+RAPIDO
tra pochi giorni è natale.||||POCHI+GIORNI+FUTURO+NATALE
papà e mattina montano l’albero di natale nel salotto, vicino al caminetto.||||PAPÀ+MATTINA+SALOTTO+CAMINETTO+VICINO+NATALE+ALBERO+MONTARE+(PASSATO)
nella grande scatola di cartone ci sono moltissime palline colorate, grandi e piccole.||||SCATOLA+GRANDE+CARTONE+PALLOTTOLE+MOLTE+COLORATO+GRANDE+PICCOLO+ESSERE+(PASSATO)
fabrizio porge le decorazioni al papà, che è salito sulla scala per addobbare la parte alta dell’albero.||||FABRIZIO+PAPÀ+DECORAZIONI+DARE+(PASSATO)+PAPÀ+SCALA+SALIRE+(PASSATO)+ALBERO+PARTE+ALTA+ADDOBBARE+(PASSATO)
sulla punta il papà sistema l’angioletto rosso che fabrizio ha preparato a scuola.||||PAPÀ+PUNTA+ANGIOLETTO+ROSSO+SISTEMARE+(PASSATO)+FABRIZIO+SCUOLA+PREPARARE+(PASSATO)
finalmente l’albero è pronto. illuminato è proprio una meraviglia!||||ALBERO+PRONTO+ILLUMINATO+MERAVIGLIA+ESSERE+(PASSATO)
mentre fabrizio e papà osservano soddisfatti il loro lavoro, il gatto trilli, attratto dai colori, salta tra i rami dell’albero, facendo cadere molte palline.||||FABRIZIO+PAPÀ+LORO+LAVORO+OSSERVARE+(PASSATO)+SODDISFATTO+GATTO+TRILLI+COLORATO+ATTRARRE+(PASSATO)+ALBERO+RAMI+TRA+SALTARE+(PASSATO)+PALLOTTOLA+MOLTE+CADERE+(PASSATO)
fabrizio piange e il papà sgrida il gatto.||||FABRIZIO+PIANGERE+(PASSATO)+PAPÀ+GATTO+SGRIDARE+(PASSATO)
fabrizio e il papà appendono di nuovo le palline all’albero, ma questa volta si fanno furbi e le attaccano strette strette ai rami con un bel nastro rosso.||||FABRIZIO+PAPÀ+ALBERO+PALLOTTOLA+DI+NUOVO+APPENDERE+(PASSATO)+FURBO+ESSERE+(PASSATO)+PALLOTTOLA+STRETTO+STRETTO+RAMO+ATTACCARE+(PASSATO)+NASTRO+ROSSO
adesso è ancora più bello!||||ORA+BELLO+PIÙ+ESSERE+(PASSATO)
cartier al suo polso, "è l'una passata ed io sono ancora qui con te a parlare di tarli e letterine a 'babbo natale' si lasciò sprofondare||||POLSO+CARTIER+ORA+UNA+(PASSATO)+IO+TE+QUI+ANCORA+PARLARE+(PASSATO)+TARLO+LETTERINA+BABBO+NATALE+LASCIARE+(PASSATO)+SPROFONDARE+(PASSATO)
nella poltrona consunta di pelle nera, l'unica del modesto salottino, e concluse: "dammi una sola buona ragione perché io dovrei rischiare il culo per te. una sola."||||POLTRONA+CONSUMATO+PELLE+NERA+UNICO+SALOTTINO+MODESTO+CONCLUDERE+(PASSATO)+IO+TU+RAGIONE+BUONA+UNICA+PERCHÉ+RISCHIARE+(FUTURO)+CULO+PER+TE+UNO
batman iniziò a torcersi le mani in preda ad evidente difficoltà: "quella gang di trafficanti che ti dicevo sai, loro ormai mi conoscono bene e se l'aspettano di vedermi arrivare,||||BATMAN+INIZIARE+(PASSATO)+STORCERE+(PASSATO)+MANO+EVIDENTE+DIFFICOLTÀ+GANG+TRAFFICANTE+DIRTI+(PASSATO)+LORO+CONOSCERE+(PASSATO)+BENE+ASPETTARE+(FUTURO)+VEDERE+(FUTURO)+ARRIVARE+(FUTURO)
e ormai i miei metodi sono un po' antiquati devo inventarmene ogni volta di nuovi e non sempre è facile. il travestimento è un'idea che mi è venuta in mente oggi pomeriggio".||||METODO+MIO+ANTICUATO+INVENTARE+(FUTURO)+NUOVO+OGNI+VOLTA+FACILE+NO+TRAVESTIMENTO+IDEA+VENIRE+(PASSATO)+MENTE+OGGI+POMERIGGIO
si fermò per alzarsi e dirigersi verso la piccola cucina da dove tornò con un generoso bicchiere di whisky. "ne vuoi un goccio?..ma so che non bevi in servizio" "esatto, non bevo, grazie. vai avanti bat,||||FERMARE+(PASSATO)+ALZARE+(PASSATO)+DIRIGERE+(PASSATO)+CUCINA+PICCOLO+TORNARE+(PASSATO)+BICCHIERE+GENEROSO+WHISKY+TU+VOLERE+(FUTURO)+GOCCIO+SERVIZIO+NO+BEVARE+(FUTURO)+ESATTO+NO+GRAZIE+ANDARE+(FUTURO)+AVANTI+BATMAN
che qui si fa mattino"||||QUI+MATTINO+FARE+(PRESENTE)
"sì sì, dicevo uhmmm se mi travesto con il tuo costume in questo periodo non potranno mai sospettare di me, con tutti i babbi santa claus che ci sono in giro potrei agire indisturbato e coglierli con le mani||||SÌ+DIRE+(PASSATO)+TRAVESTIRE+(FUTURO)+COSTUME+TUO+QUESTO+PERIODO+POTERE+(FUTURO)+SOSPETTARE+NO+BABBO+NATALE+(PLURAL)+CI+ESSERE+(PRESENTE)+POTERE+(FUTURO)+AGIRE+INDISTURBATO+COGLIERE+(FUTURO)+MANO
nel sacco"||||SACCO
a santa però non quadrava qualcosa: "ma ti ricordo che con il mio costume non puoi volare, lo sai anche tu, vero?..la slitta non te la posso dare, quella scordatela, e delle renne neanche a parlarne,||||SANTA+QUALCOSA+NO+QUADRARE+(PASSATO)+COSTUME+MIO+POTERE+NO+(FUTURO)+VOLARE+NO+SLITTA+DARE+NO+QUELLO+SCORDARE+(FUTURO)+RENNA+(PLURAL)+PARLARE+NO
non so nemmeno dove sono ora, credo in qualche villaggio turistico del peloponneso" "non mi servono slitta e renne, ed è qui che il mio piano si dimostra geniale!"||||DOVE+ESSERE+(PRESENTE)+NO+SAPERE+(PASSATO)+PENSA+(PRESENTE)+VILLAGGIO+TURISTICO+PELOPONNESO+SLITTA+RENNA+(PLURAL)+SERVIRE+NO+QUI+PIANO+MIO+DIMOSTRARE+(PRESENTE)+GENIALE
l'uomo si mosse irrequieto sulla sedia: "sotto avrò il mio costume!", esclamò a bassa voce. santa si avvicinò con l'orecchio: "bat, se bisbigli così mi stimoli solo la vescica"||||UOMO+MOVERE+(PASSATO)+IRREQUIETO+SEDIA+SOTTO+AVERE+(FUTURO)+COSTUME+MIO+ESCLAMARE+(PASSATO)+VOCE+BASSA+SANTA+AVVICINARE+(PASSATO)+ORECCHIO+BAT+BISBIGLIARE+(PRESENTE)+SOLO+STIMOLARE+(PRESENTE)+VESCICA
"dicevo che sotto indosserò il mio solito costume, il tuo servirà per mascherare il mio".||||DIRE+(PASSATO)+SOTTO+INDOSSARE+(FUTURO)+COSTUME+MIO+SOLITO+COSTUME+TUO+SERVIRE+(FUTURO)+MASCHERARE+(FUTURO)+MIO
"mi spieghi allora per quale accidenti di motivo non puoi usarne uno qualsiasi, di quelli che compri ai grandi magazzini?"||||SPIEGARE+(FUTURO)+PERCHÉ+MOTIVO+QUALSIASI+USARE+(FUTURO)+UNO+COMPRIRE+(FUTURO)+GRANDE+MAGAZZINO
batman sorrise. lento. uno di quei sorrisi che partono da lontano ma che sanno arrivare sempre a destino. "lo sai perché."||||BATMAN+SORRIDERE+(PASSATO)+LENTO+SORRISO+PARTIRE+(PASSATO)+LONTANO+ARRIVARE+(PRESENTE)+SEMPRE+DESTINO+SAPERE+(PRESENTE)+PERCHÉ
"no che non lo so, dimmelo."||||NO+SAPERE+(PRESENTE)+NO+DIRMI+(PRESENTE)
"lo sai, santy, dai..vuoi solo sentirtelo dire"||||SAPERE+(PRESENTE)+SANTY+VOLERE+(FUTURO)+SENTIRE+(FUTURO)+DIRE+(FUTURO)
claus serrò le mascelle, facendo appello a tutta la sua pazienza, quella notte messa a dura prova: "avanti, illuminami. ti prego."||||CLAUS+SERRARE+(PASSATO)+MASCELLA+FARE+(PRESENTE)+APPELLO+PAZIENZA+SUA+NOTTE+DURA+PROVA+ANDARE+(FUTURO)+AVANTI+ILLUMINARE+(FUTURO)+PREGARE+(PRESENTE)
"mi hai spiegato una volta della straordinaria capacità del tuo costume" silenzio.||||SPIEGARE+(PASSATO)+UNA+VOLTA+CAPACITÀ+STRAORDINARIO+COSTUME+TUO+SILENZIO
"sì? e che ti ho detto?"||||SÌ+CHE+DIRE+(PASSATO)
"non ti ricordi davvero?"||||RICORDARE+(PRESENTE)+DAVVERO+NO
"no, bat, davvero" un sospiro. "poi devo prendere la pastiglia per la pressione", pensò tra sé.||||NO+BAT+DAVVERO+SOSPIRARE+(PRESENTE)+POI+PRENDERE+(FUTURO)+PASTIGLIA+PRESSIONE+PENSARE+(PRESENTE)+TRA+SÉ
"che il tuo costume rende più buoni tutti coloro che lo vedono."||||COSTUME+TUO+FARE+(PRESENTE)+BUONO+PIÙ+TUTTI+VEDERE+(PRESENTE)
un sorriso dolce si andò a posare sulle labbra del vecchio.||||VECCHIO+LABBRA+(POSARE+PASSATO)+SORRISO+DOLCE
ricordò tempi passati, ricordò quando la gente era felice di vederlo, le urla di gioia dei bambini, gli occhi pieni di curiosità.||||LUI+TEMPI+PASSATI+GENTE+FELICE+VEDERE+LUI+URLA+GIOIA+BAMBINO+OCCHI+CURIOSITÀ+(RICORDARE+PASSATO)
era vero: il suo costume aveva quella magia, ma solo se colui che lo indossava ci credeva fino in fondo.||||COSTUME+MAGIA+(AVERE+PASSATO)+SOLO+SE+INDOSSARE+CREDERE+FINO+FONDO
uno scettico non se ne sarebbe fatto un bel niente.||||SCOETTICO+NIENTE+(FARE+PASSATO)
si riscosse dai suoi pensieri nostalgici e tornò alla realtà: nonostante fosse chiusa, dalla finestra sentì uno stormo di sirene della polizia urlare impazzite.||||LUI+PENSIERI+NOSTALGICI+REALTÀ+(RISCOTERE+PASSATO)+(TORNARE+PASSATO)+FINESTRA+CHIUSA+SENTIRE+SIRENE+POLIZIA+URLARE
buttò un paio di sguardi alla sala: moquette scolorita e consumata da mille passi.||||LUI+SALA+SGUARDO+(BUTTARE+PASSATO)+MOQUETTE+SCOLORITA+CONSUMATA
polvere dappertutto.||||POLVERE+OVUNQUE
piatti sporchi sotto il tavolino davanti al divano.||||PIATTI+SPORCHI+TAVOLINO+DAVANTI+DIVANO
decise: "e sia!"||||(DECIDERE+PASSATO)+"E+SIA"
si alzò di scatto nonostante la sua invidiabile età e cominciò a spogliarsi.||||LUI+ETÀ+INVIDIABILE+(ALZARE+PASSATO)+DI+SCATTO+(COMINCIARE+PASSATO)+SPOGLIARSI
non era un gran bel spettacolo lo ammise senza reticenza.||||NO+BELLO+SPETTACOLO+(AMMETTERE+PASSATO)+SENZA+RETICENZA
ma tant'è cosa non si fa per un amico piuttosto che avrebbe fatto nel frattempo?||||AMICO+FRATTEMPO+FARE+CHE?
e' uno sporco lavoro ma qualcuno lo deve pur fare così, ridotto in calzamaglia, provò a fare la domanda più ovvia: "non è che ne avresti uno dei tuoi di riserva...eh?"||||LAVORO+SPORCO+QUALCUNO+(DOVERE)+FARE+CALZAMAGLIA+DOMANDA+OVVI+(PROVARE)+FARE
si sentì rispondere quello che non avrebbe voluto sentirsi dire: "ma certo! guarda là nell'armadio: ce ne deve essere uno che ti dovrebbe anche andare bene lo avevo fatto fare da un certo giorgio giorgio beh, ora mi sfugge il cognome"||||RISPOSTA+NON+VOLERE+SENTIRE+"CERTO+GUARDA+ARMADIO+DEVE+ESSERE+UNO+DOVREBBE+ANDARE+BENE+FARE+DA+GIORGIO"
"armani!", fece babbo natale dandosi un tono.||||"ARMANI!"+BABBO+NATALE+DARSI+TONO
palestra vita, belle ehm donne.||||PALESTRA+VITA+BELLE+DONNE
insomma provatelo e vedi di fare presto".||||PROVARE+VEDETE+(FARE+FUTURO)+PRESTO
la notte accolse due strane figure uscite come due disperati dopo un colpo nei magazzini vestiario di qualche studios cinematografico.||||NOTTE+ACCOGLIERE+DUE+PERSONE+STRANE+USCIRE+DISPERATI+COLPO+MAGAZZINI+VESTIARIO+STUDIOS+CINEMATOGRAFICI
santa rimase un attimo sbigottito, vedendosi riflesso per un istante nelle grandi vetrine di un supermercato.||||SANTA+SBIGOTTITO+VEDERE+RIFLESSO+GRANDI+VETRINE+SUPERMERCATO
"giuro che è l'ultimo natale che passo così..lunedì chiamo il mio agente, svincolo il fondo di prepensionamento e la faccio finita", pensò questo, mentre batmannatale, inforcando la sua mitica hd, sgasava come un bandito verso l'incrocio||||"GIURO+ULTIMO+NATALE+PASSARE+COSÌ+LUNEDÌ+CHIAMARE+AGENTE+SVINCOLARE+FONDO+PREPENSIONAMENTO+FARE+FINITA"+PENSARE+BATMANNATALE+INFORCARE+HD+SGASARE+COME+BANDITO+INCROCIO
"ci vediamo al porto alle 6", riecheggiava ancora nelle sue orecchie.||||"VEDIAMO+PORTO+SEI"+RIECHEGGIARE+ORECCHIE
armeggiò non poco prima di mettere in moto la bat mobile: era da tempo che non passava per le mani di un carburatorista appena onesto; scoppiettando come un prototipo inizio secolo, guadagnò l'uscita del batgarage e fu sulla strada.||||BAT+MOBILE+CARBURATORISTA+(ARMEGGIAREPASSATO)+(GUADAGNAREPASSATO)+USCITA+(ESSEREPASSATO)+STRADA
dunque cominciamo dagli smith: a quest'ora tanto dormiranno quanto fachiri.||||SMITH+DORMIRE+FACHIRI+(COMINCIAREFUTURO)
parcheggiò lontano per non dare nell'occhio con quel concentrato di decibel compressi; costeggiò tutta la siepe che delimitava il giardino nel quale troneggiava l'immancabile albero di natale illuminato come il titanic.||||LONTANO+(PARCHÉGGIAREPASSATO)+SIEPE+GIARDINO+ALBERO+NATALE+TITANIC+(COSTÉGGIAREPASSATO)
si trattava a tutta vista di una famiglia molto agiata.||||FAMIGLIA+AGIATA+(TRATTAREPASSATO)
"che bisogno avranno dei miei regali", si disse perplesso mentre con consumata perizia prendeva di petto la canna del camino per arrivare sul tetto.||||REGALI+(AVEREFUTURO)+BISOGNO+PERPLESSO+(DIREPASSATO)+CAMINO+TETTO+(PRENDEREPASSATO)
la gerla sobbalzò pericolosamente sollevando le sue leggere imprecazioni. non aveva più il fisico.||||GERLA+(SOBBALZAREPASSATO)+IMPRECAZIONI+(AVEREPASSATO)+FISICO
passò davanti alle finestre, via via che saliva. dormivano tutti.||||FINESTRE+(PASSAREPASSATO)+(SALIREPASSATO)+(DORMIREPASSATO)
sul tetto riprese fiato, si tolse la gerla e lasciò andare giù dalla canna una serie di pacchettini, sollevando fuliggine.||||TETTO+(RIPRENDEREPASSATO)+GERLA+PACCHETTINI+CANNA+(LASCIAREPASSATO)+FULIGGINE
espletò il suo compito in pochi secondi, rinfrancato per il successo della prima consegna.||||COMPITO+SECONDI+RINFRANCATO+PRIMO+CONSEGNA+(ESPLETAREPASSATO)
stava per riscendere dalla stessa "strada" quando una voce, infantile e terribile al tempo stesso, scandì queste parole "così saresti tu babbo natale, eh ?!"||||VOCE+INFANTILE+TERRIBILE+BABBO+NATALE+(STAREPASSATO)+(RISCENDEREFUTURO)
pensò si trattasse del bourbon offertogli poco prima, sebbene non ne avesse bevuto neanche un goccio, o forse del mancato riposo della notte prima.||||PENSARE+BOURBON+RIPOSO+NOTTE+(PENSAREPASSATO)
ma in cuor suo, appena girato, sapeva già che non era così: un moccioso, il più piccolo degli smith, lo illuminava impietosamente con una torcia da campeggio.||||CUORE+SAPEVA+MOCCIOSO+PICCOLO+SMITH+TORCIA+CAMPEGGIO+(ILLUMINAREPASSATO)
"che figli di buonadonna, i miei genitori anni e anni di bugie, babbo natale di qua, babbo natale di là, scrivi la letterina a babbo natale tesoruccio! eccolo qui invece! potevano dirlo subito che era batman, invece" santa claus schiumò di rabbia, stavolta ancora peggio.||||FIGLI+BUONADONNA+GENITORI+ANNI+BUGIE+BABBO+NATALE+LETTERINA+BABBO+NATALE+BATMAN+RABBIA+(SCHIUMAREPASSATO)
vaglielo a spiegare ora che non è proprio così "figliolo, è tardi, cosa ci fai ancora in piedi?", fece appello a tutta la sua indiscussa professionalità: era in gioco la sua credibilità, arrivati a quel punto.||||SPIEGARE+TARDI+PIEDI+APPELLO+PROFESSIONALITÀ+CREDIBILITÀ+(FAREFUTURO)
"lo vedi ? e' tardi, santa claus ha tanto da fare che ha chiesto a qualche suo amico supereroe di fare per lui qualche consegna", fece, cercando di dare un tono di sincerità al tutto. invano.||||VEDERE+TARDI+SANTA+CLAUS+FARE+AMICO+SUPEREROE+CONSEGNA+SINCERITÀ+(FAREPASSATO)+INVANO
la "peste", senza togliergli la torcia di dosso, più carogna che mai infierì: "no bello, tu adesso rimani qui che devo svegliare quei due farabutti e fare giustizia d'anni di menzogne!"||||PESTE+TORCIA+ESSERE+(PRESENTE)+BELLO+TU+RIMANERE+(PRESENTE)+QUI+IO+DOVERE+(PASSATO)+SVEGLIARE+DUE+FARABUTTI+FARE+(FUTURO)+GIUSTIZIA+ANNI+MENZOGNE
"no, ma che dici, stai scherzando, vero? dai, è tardi, fila a letto e non aprire i pacchi fino a domattina, mi raccomando"||||NO+CHE+DIRE+(PRESENTE)+TU+SCHERZARE+(PRESENTE)+VERO?+TARDI+ANDARE+(PRESENTE)+LETTO+NON+APRIRE+(FUTURO)+PACCHI+FINO+DOMATTINA+RACCOMANDARE+(PRESENTE)
santabatman, emulando i suoi tempi migliori spiccò un salto calcolando la zona di caduta sulla quercia del giardino, non trovando altro modo per trarsi d'impaccio con un colpo di scena che zittisse quella birba di bambino.||||SANTABATMAN+EMULARE+(PASSATO)+TEMPI+MIGLIORI+SALTO+CALCOLARE+(PASSATO)+ZONA+CADUTA+QUERCIA+GIARDINO+NON+TROVARE+(PASSATO)+MODO+TRARSI+(PASSATO)+IMPACCIO+COLPO+SCENA+ZITTIRE+(PASSATO)+BIRBA+BAMBINO
seppure fuori allenamento riuscì a raggiungere indenne la batmobile, coprendo col rumore del motore le grida furibonde del moccioso.||||SEPPURE+FUORI+ALLENAMENTO+RIUSCIRE+(PASSATO)+RAGGIUNGERE+(PASSATO)+INDENNE+BATMOBILE+COPRIRE+(PASSATO)+RUMORE+MOTORE+GRIDA+FURIBONDE+MOCCIOSO
la seconda consegna andò meglio, così la terza e via via per tutto il quartiere.||||SECONDA+CONSEGNA+ANDARE+(PASSATO)+MEGLIO+COSÌ+TERZA+VIA+VIA+TUTTO+QUARTIERE
la notte era fredda, e le maledizioni che tirò all'indirizzo del suo amico "pipistrello male in arnese" ogni qual volta tentava inutilmente di accendere il riscaldamento in macchina, superarono il numero delle consegne.||||NOTTE+ESSERE+(PASSATO)+FREDDA+MALEDIZIONI+TIRARE+(PASSATO)+INDIRIZZO+AMICO+PIPISTRELLO+MALE+ARNESE+OGNI+VOLTA+TENTARE+(PASSATO)+INUTILMENTE+ACCENDERE+(PASSATO)+RISCALDAMENTO+MACCHINA+SUPERARE+(PASSATO)+NUMERO+CONSEGNE
inutile dire che era notevolmente in ritardo sulla tabella di marcia, per di più non era abituato ad effettuare i suoi spostamenti su quattro ruote.||||INUTILE+DIRE+(PRESENTE)+ESSERE+(PASSATO)+NOTEVOLMENTE+RITARDO+TABELLA+MARCIA+PIÙ+NON+ESSERE+(PASSATO)+ABITUATO+EFFETTUARE+(PASSATO)+SPOSTAMENTI+QUATTRO+RUOTE
quell'automobile era un gioiellino, intendiamoci, ma tutto sommato santa preferiva di gran lunga la sua h.d. truccata in modo 'speciale' per lui da certi meccanici tipo i chubbs conosciuti anni anni prima, quando ancora aveva una kawasaki 1000.||||AUTOMOBILE+ESSERE+(PASSATO)+GIOIELLINO+INTENDERSI+(PRESENTE)+MA+TUTTO+SOMMATO+SANTA+PREFERIRE+(PASSATO)+GRAN+LUNGA+SUA+H.D.+TRUCCARE+(PASSATO)+MODO+SPECIALE+LUI+CERTI+MECCANICI+TIPO+CHUBBS+CONOSCERE+(PASSATO)+ANNI+ANNI+PRIMA+QUANDO+AVERE+(PASSATO)+KAWASAKI+1000
